ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
01059	10001	EAST	NORTH AMHERST	MA	1000	EAST
01060	10001	EAST	NORTHAMPTON	MA	1000	EAST
01061	10001	EAST	NORTHAMPTON	MA	1000	EAST
01062	10001	EAST	FLORENCE	MA	1000	EAST
01063	10001	EAST	NORTHAMPTON	MA	1000	EAST
01066	10001	EAST	NORTH HATFIELD	MA	1000	EAST
01068	10001	EAST	OAKHAM	MA	1000	EAST
01069	10001	EAST	PALMER	MA	1000	EAST
01070	10001	EAST	PLAINFIELD	MA	1000	EAST
01071	10001	EAST	RUSSELL	MA	1000	EAST
01072	10001	EAST	SHUTESBURY	MA	1000	EAST
01073	10001	EAST	SOUTHAMPTON	MA	1000	EAST
01074	10001	EAST	SOUTH BARRE	MA	1000	EAST
01075	10001	EAST	SOUTH HADLEY	MA	1000	EAST
01077	10001	EAST	SOUTHWICK	MA	1000	EAST
01079	10001	EAST	THORNDIKE	MA	1000	EAST
01080	10001	EAST	THREE RIVERS	MA	1000	EAST
01081	10001	EAST	WALES	MA	1000	EAST
01082	10001	EAST	WARE	MA	1000	EAST
01083	10001	EAST	WARREN	MA	1000	EAST
01084	10001	EAST	WEST CHESTERFIELD	MA	1000	EAST
01085	10001	EAST	WESTFIELD	MA	1000	EAST
01086	10001	EAST	WESTFIELD	MA	1000	EAST
01088	10001	EAST	WEST HATFIELD	MA	1000	EAST
01089	10001	EAST	WEST SPRINGFIELD	MA	1000	EAST
01090	10001	EAST	WEST SPRINGFIELD	MA	1000	EAST
01092	10001	EAST	WEST WARREN	MA	1000	EAST
01093	10001	EAST	WHATELY	MA	1000	EAST
01094	10001	EAST	WHEELWRIGHT	MA	1000	EAST
01095	10001	EAST	WILBRAHAM	MA	1000	EAST
01096	10001	EAST	WILLIAMSBURG	MA	1000	EAST
01097	10001	EAST	WORONOCO	MA	1000	EAST
01098	10001	EAST	WORTHINGTON	MA	1000	EAST
01101	10001	EAST	SPRINGFIELD	MA	1000	EAST
